Latitude,Longitude
47.34516,-2.50983
48.0261947,0.3330062
47.232985,0.041427
47.28979,-2.39652
47.28979,-2.39652
47.22795,-2.17517
47.82497,0.49037
72089,48.12418
47.2691643,-1.0269919
47.987252,0.219201
48.00836,0.19683
48.0648065,0.72732955
47.1823,-2.14801
47.362077,-1.0341888
47.3620764,-1.0341878
47.6408681,-0.6651589
44154,47.24259
47.10977,-2.08894
48.0092555,0.1980017
47.39729,-2.30963
48.081474,0.508985
48.07349,-0.77237
47.9737703,0.2089085
47.3428,-2.50737
53264,47.9938294
47.4380104,-0.2146791
47.8134382,-0.0831326
47.3638535,-1.0127512
47.04385,-1.9552
47.2654,-2.33703
47.994254,0.810216
47.7273,0.57945
47.75946,0.275
47.25223,-2.16415
48.34947,-0.58148
47.40847,-2.35424
47.75946,0.275
47.74659,0.13601
47.0451957,-0.8806974
47.370449,-0.462419
47.79086,-0.44237
47.31654,-2.45298
47.0577,-0.87988
47.09364,-0.42031
47.05771,-0.87988
47.08058,-0.54393
47.08691,-1.2817909
49007,47.47
47.48219,-2.15684
47.51652,-2.0371
47.305872,-1.3152652
47.8842436,-0.5306226
47.7933959,-0.6699403
47.05771,-0.87988
48.08779,-0.7773
72153,47.7904794
47.1145,-2.0982
47.0871704,-1.2818138
47.32792,-2.42699
47.51883,-0.46083
47.82844,-0.69809
48.35995,-0.07776
47.233028,-0.296
47.28677,-2.39115
47.184399,-0.258551
48.1849345,-0.1259701
47.260135,-0.080893
47.95021,-0.55637
47.0850411,-1.2756355
47.35183,-0.76333
48.2825973,0.49164582
48.07021,-0.76265
47.26036,-2.33786
47.06361,-2.0006
47.0636,-2.0006
47.244,-2.31366
47.06361,-2.0006
47.06361,-2.0006
